batch_id,start_time,end_time,duration,duration_minutes,process_temp_sp_median,pressure_sp_median,core_start_time,core_end_time,core_duration_minutes,min_process_temp,max_process_temp
1,2025-11-11 16:57:00,2025-11-12 15:33:00,0 days 22:36:00,1356.0,80.0,2.2,2025-11-11 17:08:00,2025-11-12 08:52:00,944.0,35.0,87.3
2,2025-11-13 16:36:00,2025-11-14 05:32:00,0 days 12:56:00,776.0,80.0,2.2,2025-11-13 16:44:00,2025-11-13 23:26:00,402.0,38.1,85.2
3,2025-11-14 17:27:00,2025-11-15 12:38:00,0 days 19:11:00,1151.0,80.0,2.1,2025-11-14 17:34:00,2025-11-15 03:36:00,602.0,36.7,89.2
4,2025-11-16 14:19:00,2025-11-17 08:29:00,0 days 18:10:00,1090.0,80.0,2.3,2025-11-16 14:50:00,2025-11-17 03:48:00,778.0,33.2,91.7
5,2025-11-17 17:01:00,2025-11-18 09:02:00,0 days 16:01:00,961.0,80.0,2.2,2025-11-17 17:14:00,2025-11-18 03:50:00,636.0,37.7,95.8
6,2025-11-18 16:50:00,2025-11-19 12:27:00,0 days 19:37:00,1177.0,80.0,2.2,2025-11-18 17:04:00,2025-11-19 07:24:00,860.0,38.2,103.0
7,2025-11-20 16:52:00,2025-11-21 06:43:00,0 days 13:51:00,831.0,80.0,2.2,2025-11-20 17:02:00,2025-11-20 23:26:00,384.0,34.0,92.7
8,2025-11-22 19:48:00,2025-11-23 15:24:00,0 days 19:36:00,1176.0,80.0,2.9,2025-11-22 19:58:00,2025-11-23 09:09:00,791.0,34.5,87.8
9,2025-11-23 16:23:00,2025-11-25 14:42:00,1 days 22:19:00,2779.0,80.0,2.1,2025-11-23 18:24:00,2025-11-25 06:30:00,2166.0,36.8,96.3
10,2025-11-25 17:07:00,2025-11-27 07:05:00,1 days 13:58:00,2278.0,77.0,2.0,2025-11-25 17:40:00,2025-11-27 01:06:00,1886.0,36.4,93.9
11,2025-11-30 16:39:00,2025-12-01 10:57:00,0 days 18:18:00,1098.0,80.0,2.0,2025-11-30 16:52:00,2025-12-01 05:33:00,761.0,36.2,92.1
12,2025-12-01 17:48:00,2025-12-02 09:05:00,0 days 15:17:00,917.0,77.0,1.9,2025-12-01 17:57:00,2025-12-02 03:27:00,570.0,38.8,92.0
13,2025-12-02 10:46:00,2025-12-02 20:42:00,0 days 09:56:00,596.0,80.0,2.2,2025-12-02 10:57:00,2025-12-02 14:26:00,209.0,37.9,88.1
14,2025-12-02 20:44:00,2025-12-03 08:33:00,0 days 11:49:00,709.0,85.0,2.2,2025-12-02 20:56:00,2025-12-02 21:51:00,55.0,38.8,87.3
15,2025-12-04 15:44:00,2025-12-05 04:30:00,0 days 12:46:00,766.0,80.0,2.2,2025-12-04 15:55:00,2025-12-04 22:01:00,366.0,35.3,91.5
16,2025-12-08 15:54:00,2025-12-08 22:51:00,0 days 06:57:00,417.0,77.0,2.0,2025-12-08 22:07:00,2025-12-08 22:51:00,44.0,33.8,90.5
